X	Y	T	NASA ERBE ALL clear-sky albedo
degree_east	degree_north	months since 1960-01-01	percent
    161.2500    	    63.75000    	    322.5000    	    66.10000    
    163.7500    	    63.75000    	    322.5000    	    67.10000    
    166.2500    	    63.75000    	    322.5000    	    68.50000    
    168.7500    	    63.75000    	    322.5000    	    64.90000    
    171.2500    	    63.75000    	    322.5000    	    66.10000    
    173.7500    	    63.75000    	    322.5000    	    68.70000    
    176.2500    	    63.75000    	    322.5000    	    68.70000    
    178.7500    	    63.75000    	    322.5000    	    17.30000    
    181.2500    	    63.75000    	    322.5000    	    25.10000    
    183.7500    	    63.75000    	    322.5000    	    25.50000    
    186.2500    	    63.75000    	    322.5000    	    27.10000    
    188.7500    	    63.75000    	    322.5000    	    23.80000    
    191.2500    	    63.75000    	    322.5000    	    24.20000    
    193.7500    	    63.75000    	    322.5000    	    24.70000    
    196.2500    	    63.75000    	    322.5000    	    20.60000    
    198.7500    	    63.75000    	    322.5000    	    50.00000    
    201.2500    	    63.75000    	    322.5000    	    50.60000    
    203.7500    	    63.75000    	    322.5000    	    47.50000    
    206.2500    	    63.75000    	    322.5000    	    45.90000    
    208.7500    	    63.75000    	    322.5000    	    46.60000    
    211.2500    	    63.75000    	    322.5000    	    47.90000    
    213.7500    	    63.75000    	    322.5000    	    48.30000    
    216.2500    	    63.75000    	    322.5000    	    47.10000    
    218.7500    	    63.75000    	    322.5000    	    45.60000    
    223.7500    	    63.75000    	    322.5000    	    48.10000    
    226.2500    	    63.75000    	    322.5000    	    46.20000    
    228.7500    	    63.75000    	    322.5000    	    51.70000    
    231.2500    	    63.75000    	    322.5000    	    56.10000    
    233.7500    	    63.75000    	    322.5000    	    48.80000    
    236.2500    	    63.75000    	    322.5000    	    44.90000    
    238.7500    	    63.75000    	    322.5000    	    49.00000    
    241.2500    	    63.75000    	    322.5000    	    50.90000    
    243.7500    	    63.75000    	    322.5000    	    52.50000    
    246.2500    	    63.75000    	    322.5000    	    56.60000    
    248.7500    	    63.75000    	    322.5000    	    61.60000    
    251.2500    	    63.75000    	    322.5000    	    61.90000    
    253.7500    	    63.75000    	    322.5000    	    65.30000    
    256.2500    	    63.75000    	    322.5000    	    66.70000    
    258.7500    	    63.75000    	    322.5000    	    65.70000    
    261.2500    	    63.75000    	    322.5000    	    69.00000    
    263.7500    	    63.75000    	    322.5000    	    67.60000    
    266.2500    	    63.75000    	    322.5000    	    67.30000    
    273.7500    	    63.75000    	    322.5000    	    65.70000    
    276.2500    	    63.75000    	    322.5000    	    68.90000    
    278.7500    	    63.75000    	    322.5000    	    67.60000    
    288.7500    	    63.75000    	    322.5000    	    68.60000    
    291.2500    	    63.75000    	    322.5000    	    70.60000    
    293.7500    	    63.75000    	    322.5000    	    69.30000    
    301.2500    	    63.75000    	    322.5000    	    26.50000    
    303.7500    	    63.75000    	    322.5000    	    17.60000    
    306.2500    	    63.75000    	    322.5000    	    25.30000    
    308.7500    	    63.75000    	    322.5000    	    43.20000    
    311.2500    	    63.75000    	    322.5000    	    67.30000    
    313.7500    	    63.75000    	    322.5000    	    74.30000    
    316.2500    	    63.75000    	    322.5000    	    69.60000    
    318.7500    	    63.75000    	    322.5000    	    24.10000    
    321.2500    	    63.75000    	    322.5000    	    24.90000    
    323.7500    	    63.75000    	    322.5000    	    24.90000    
    326.2500    	    63.75000    	    322.5000    	    24.90000    
    328.7500    	    63.75000    	    322.5000    	    25.40000    
    331.2500    	    63.75000    	    322.5000    	    29.00000    
    333.7500    	    63.75000    	    322.5000    	    23.40000    
    336.2500    	    63.75000    	    322.5000    	    24.80000    
    338.7500    	    63.75000    	    322.5000    	    18.30000    
    341.2500    	    63.75000    	    322.5000    	    32.40000    
    343.7500    	    63.75000    	    322.5000    	    35.40000    
    346.2500    	    63.75000    	    322.5000    	    25.30000    
    348.7500    	    63.75000    	    322.5000    	    23.90000    
    351.2500    	    63.75000    	    322.5000    	    24.00000    
    353.7500    	    63.75000    	    322.5000    	    25.70000    
    356.2500    	    63.75000    	    322.5000    	    26.20000    
    358.7500    	    63.75000    	    322.5000    	    25.80000    
    1.250000    	    61.25000    	    322.5000    	    23.80000    
    3.750000    	    61.25000    	    322.5000    	    25.10000    
    6.250000    	    61.25000    	    322.5000    	    23.70000    
    8.750000    	    61.25000    	    322.5000    	    20.70000    
    11.25000    	    61.25000    	    322.5000    	    19.90000    
